From Date,To Date,PM10,Temp
26-08-2018,27-08-2018,71.08,24.39
27-08-2018,28-08-2018,100.13,25.59
28-08-2018,29-08-2018,81.79,24.67
29-08-2018,30-08-2018,107.24,25.38
30-08-2018,31-08-2018,98.66,26.47
31-08-2018,1-9-2018 ,69.94,25.77
1-9-2018 ,2-9-2018 ,77.4,25.09
2-9-2018 ,3-9-2018 ,72.22,24.99
3-9-2018 ,4-9-2018 ,66.42,25.78
4-9-2018 ,5-9-2018 ,44.73,25.75
5-9-2018 ,6-9-2018 ,45.28,25.58
6-9-2018 ,7-9-2018 ,59.28,25.53
7-9-2018 ,8-9-2018 ,52.75,23.41
8-9-2018 ,9-9-2018 ,50.65,23
9-9-2018 ,10-9-2018 ,44.59,22.88
10-9-2018 ,11-9-2018 ,51.49,23.02
11-9-2018 ,12-9-2018 ,63.32,24.9
12-9-2018 ,13-09-2018,72.95,25.41
13-09-2018,14-09-2018,67.19,24.74
14-09-2018,15-09-2018,63.78,25.14
15-09-2018,16-09-2018,69.2,25.19
16-09-2018,17-09-2018,67.94,25.79
17-09-2018,18-09-2018,67.87,26.44
18-09-2018,19-09-2018,73.4,26.2
19-09-2018,20-09-2018,85.36,27.57
20-09-2018,21-09-2018,88.06,27.63
21-09-2018,22-09-2018,97.89,27.76
22-09-2018,23-09-2018,35.32,24.63
23-09-2018,24-09-2018,21.03,23.17
24-09-2018,25-09-2018,78.82,26.11
25-09-2018,26-09-2018,113.25,27.06
26-09-2018,27-09-2018,100.32,26.62
27-09-2018,28-09-2018,84.58,26.53
28-09-2018,29-09-2018,98.03,25.99
29-09-2018,30-09-2018,100.68,26.17
30-09-2018,1-10-2018 ,97.84,26.36
1-10-2018 ,2-10-2018 ,118.5,26.76
2-10-2018 ,3-10-2018 ,93.36,27.04
3-10-2018 ,4-10-2018 ,95.37,27.01
4-10-2018 ,5-10-2018 ,104.93,28
5-10-2018 ,6-10-2018 ,105.16,27.11
6-10-2018 ,7-10-2018 ,94.38,27.14
7-10-2018 ,8-10-2018 ,96.33,26.95
8-10-2018 ,9-10-2018 ,95.79,27.62
9-10-2018 ,10-10-2018 ,110.58,28.08
10-10-2018 ,11-10-2018 ,192.39,26.92
11-10-2018 ,12-10-2018 ,163.36,27.46
12-10-2018 ,13-10-2018,142.91,26.84
13-10-2018,14-10-2018,123.89,26.28
14-10-2018,15-10-2018,105.92,26.67
15-10-2018,16-10-2018,290.34,26.52
16-10-2018,17-10-2018,111.9,26.16
17-10-2018,18-10-2018,99.9,26.83
18-10-2018,19-10-2018,97.55,26.77
19-10-2018,20-10-2018,87.3,26.67
20-10-2018,21-10-2018,79.8,26.32
21-10-2018,22-10-2018,91.15,25.26
22-10-2018,23-10-2018,108.8,24.58
23-10-2018,24-10-2018,97.87,24.84
24-10-2018,25-10-2018,105.54,25.38
25-10-2018,26-10-2018,82.32,25.12
26-10-2018,27-10-2018,101.18,24.92
27-10-2018,28-10-2018,89.16,24.87
28-10-2018,29-10-2018,88.04,24.96
29-10-2018,30-10-2018,109.06,22.97
30-10-2018,31-10-2018,149.08,23.01
31-10-2018,1-11-2018 ,209.32,23.09
1-11-2018 ,2-11-2018 ,246.13,23.19
2-11-2018 ,3-11-2018 ,167.83,23.58
3-11-2018 ,4-11-2018 ,144.35,24.56
4-11-2018 ,5-11-2018 ,197.89,24.31
5-11-2018 ,6-11-2018 ,165.13,22.81
6-11-2018 ,7-11-2018 ,190.18,21.35
7-11-2018 ,8-11-2018 ,233.61,20.62
8-11-2018 ,9-11-2018 ,257.09,21.03
9-11-2018 ,10-11-2018 ,190.01,21.82
10-11-2018 ,11-11-2018 ,186.49,22.12
11-11-2018 ,12-11-2018 ,232.47,22.57
12-11-2018 ,13-11-2018,188.39,22.79
13-11-2018,14-11-2018,161.99,23.25
14-11-2018,15-11-2018,167.14,23.62
15-11-2018,16-11-2018,143.53,23.41
16-11-2018,17-11-2018,202.42,21.88
17-11-2018,18-11-2018,189.83,21.64
18-11-2018,19-11-2018,184.91,22.13
19-11-2018,20-11-2018,201.09,22.65
20-11-2018,21-11-2018,229.05,23.21
21-11-2018,22-11-2018,202.44,22.91
22-11-2018,23-11-2018,187.24,23.01
23-11-2018,24-11-2018,173.24,22.56
24-11-2018,25-11-2018,199.31,22.17
25-11-2018,26-11-2018,194.57,20.98
26-11-2018,27-11-2018,218.98,20.23
27-11-2018,28-11-2018,198.51,19.64
28-11-2018,29-11-2018,227.61,19.76
29-11-2018,30-11-2018,206.25,19.19
30-11-2018,1-12-2018 ,218.53,19
1-12-2018 ,2-12-2018 ,196.09,18.01
2-12-2018 ,3-12-2018 ,140.94,17.2
3-12-2018 ,4-12-2018 ,151.97,17.32
4-12-2018 ,5-12-2018 ,167.17,17.97
5-12-2018 ,6-12-2018 ,162.79,18.41
6-12-2018 ,7-12-2018 ,158.91,18.53
7-12-2018 ,8-12-2018 ,133.66,18.25
8-12-2018 ,9-12-2018 ,135.12,18.04
9-12-2018 ,10-12-2018 ,135.95,17.72
10-12-2018 ,11-12-2018 ,170.36,17.55
11-12-2018 ,12-12-2018 ,158.38,18.53
12-12-2018 ,13-12-2018,115.52,18.73
13-12-2018,14-12-2018,161.22,16.52
14-12-2018,15-12-2018,130.12,15.02
15-12-2018,16-12-2018,133.23,13.02
16-12-2018,17-12-2018,127.31,14.54
17-12-2018,18-12-2018,130.58,15.64
18-12-2018,19-12-2018,209.95,14.75
19-12-2018,20-12-2018,248.87,14.47
20-12-2018,21-12-2018,237.06,15.45
21-12-2018,22-12-2018,218.87,15.82
22-12-2018,23-12-2018,216.3,16
23-12-2018,24-12-2018,193.31,16.73
24-12-2018,25-12-2018,211.34,16.89
25-12-2018,26-12-2018,194.31,16.74
26-12-2018,27-12-2018,172.36,16.28
27-12-2018,28-12-2018,142.86,15.06
28-12-2018,29-12-2018,183.69,14.02
29-12-2018,30-12-2018,178.33,13.26
30-12-2018,31-12-2018,209.74,14.3
31-12-2018,1-1-2019 ,302.95,15.47
